Jenis_Hewan,Usia,Jenis_Kelamin,Berat_Badan_kg,Gejala_1,Gejala_2,Gejala_3,Gejala_4,Durasi,Nafsu_Makan_Hilang,Muntah,Diare,Batuk,Kesulitan_Bernafas,Pincang,Lesi_Kulit,Keluar_Lendir_Hidung,Keluar_Cairan_Mata,Suhu_Tubuh,Detak_Jantung,Prediksi_Penyakit
Kuda,7,Betina,850.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,39.2°C,82,Herpesvirus Kuda
Sapi,4,Jantan,700.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,39.3°C,77,Penyakit Pernapasan Sapi
Kelinci,2,Jantan,1.8,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.0°C,150,Penyakit Hemoragik Virus Kelinci
Domba,6,Betina,80.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.3°C,74,Ektima Menular
Kambing,4,Jantan,72.0,Muntah,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,39.6°C,80,Pneumonia
Babi,5,Betina,110.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,5 hari,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,39.2°C,85,Influenza Babi
Anjing,4,Jantan,32.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,39.1°C,130,Hepatitis Anjing
Kucing,3,Betina,5.0,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Batuk,Demam,4 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,39.0°C,155,Rinotrakeitis Kucing
Kuda,8,Jantan,550.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,7 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.4°C,88,Ensefalomielitis Kuda
Sapi,5,Betina,450.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,39.0°C,78,Parainfluenza Sapi
Kelinci,3,Jantan,1.4,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,38.9°C,148,Pasteurelosis
Domba,4,Jantan,95.0,Sendi Bengkak,Batuk,Kehilangan Nafsu Makan,Lesu,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.2°C,76,Virus Lidah Biru
Kambing,6,Betina,75.0,Muntah,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,39.7°C,82,Artritis Virus Kambing
Babi,4,Jantan,120.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,39.1°C,86,Pleuropneumonia Actinobacillus
Anjing,3,Betina,25.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,39.2°C,125,Leptospirosis Anjing
Kucing,2,Jantan,6.0,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Batuk,Demam,3 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.0°C,145,Asma Kucing
Kuda,6,Betina,650.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,39.3°C,84,Influenza Kuda
Sapi,4,Jantan,680.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,39.4°C,77,Tuberkulosis Sapi
Kelinci,2,Betina,1.1,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,3 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,38.8°C,150,Calicivirus Kelinci
Domba,5,Betina,90.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,39.1°C,75,Maedi-Visna
Kambing,5,Jantan,80.0,Muntah,Diare,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,39.5°C,80,Limfadenitis Kaseosa
Babi,4,Betina,130.0,Batuk,Kehilangan Nafsu Makan,Lesu,Keluar Lendir Hidung,6 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,39.2°C,88,Erisipelas Babi
Anjing,5,Jantan,25.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,39.2°C,120,Batuk Kennel
Kucing,3,Betina,6.0,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Batuk,Demam,4 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.1°C,145,Herpesvirus Kucing
Kuda,9,Jantan,550.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,7 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,39.4°C,80,Equine Infectious Anemia
Sapi,6,Betina,500.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.2°C,75,Diare Virus Sapi
Kelinci,3,Jantan,2.0,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,39.0°C,155,Miksomatosis
Domba,4,Jantan,95.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,39.3°C,77,Penyakit Lidah Biru
Kambing,5,Betina,85.0,Muntah,Diare,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,39.6°C,85,Artritis Ensefalitis Kaprin
Babi,6,Jantan,120.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,5 hari,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.1°C,95,Pleuropneumonia Actinobacillus
Anjing,4,Betina,5.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,39.1°C,110,Parvovirus Anjing
Kucing,7,Jantan,10.2,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Batuk,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.0°C,135,Asma Kucing
Kuda,7,Betina,800.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,39.5°C,85,Leptospirosis Kuda
Sapi,5,Jantan,720.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,39.3°C,82,Tuberkulosis Sapi
Kelinci,4,Betina,1.6,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,5 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.0°C,145,Pasteurelosis
Domba,4,Jantan,85.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.4°C,78,Abortus Menular
Kambing,6,Betina,95.0,Muntah,Diare,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,39.8°C,80,Pneumonia
Babi,3,Jantan,110.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,39.2°C,100,Disentri Babi
Anjing,6,Betina,30.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,39.1°C,115,Leptospirosis Anjing
Kucing,5,Jantan,4.5,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,3 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.0°C,140,Kompleks Penyakit Pernapasan Kucing
Kuda,5,Jantan,550.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,6 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,39.2°C,80,Herpesvirus Kuda
Sapi,4,Betina,650.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.4°C,75,Tuberkulosis Sapi
Kelinci,3,Jantan,2.0,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,39.1°C,150,Penyakit Hemoragik Kelinci
Domba,3,Betina,75.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.3°C,77,Penyakit Mulut dan Kuku
Kambing,4,Jantan,90.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,39.6°C,82,Artritis Kambing
Babi,5,Betina,130.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,39.0°C,90,Flu Babi
Anjing,4,Jantan,8.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,39.2°C,100,Penyakit Cacing Jantung Anjing
Kucing,6,Betina,10.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,39.1°C,145,Leukemia Kucing
Kuda,6,Jantan,550.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,5 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,39.5°C,78,Influenza Kuda
Anjing,7,Jantan,35.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,39.3°C,110,Batuk Kennel
Kucing,4,Betina,7.0,Muntah,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,39.1°C,125,Peritonitis Infeksius Kucing
Kuda,10,Betina,750.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,39.4°C,90,Ensefalomielitis Kuda
Sapi,8,Jantan,650.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.5°C,80,Kompleks Penyakit Pernapasan Sapi
Kelinci,3,Jantan,1.8,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,39.0°C,140,Penyakit Hemoragik Virus Kelinci
Domba,5,Betina,90.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,39.3°C,78,Scrapie
Kambing,6,Jantan,100.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,39.6°C,85,Pneumonia
Babi,4,Betina,120.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,39.2°C,100,Demam Babi
Anjing,5,Jantan,40.0,Muntah,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.2°C,130,Parvovirus Anjing
Kucing,3,Betina,8.0,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Batuk,Demam,4 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,39.0°C,145,Panleukopenia Kucing
Kuda,7,Jantan,450.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,39.4°C,85,Mieloensefalitis Protozoa Kuda
Sapi,6,Betina,550.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,39.6°C,70,Johne's Disease
Kelinci,2,Jantan,1.9,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,3 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,39.1°C,150,Kurap
Domba,4,Jantan,110.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,39.3°C,77,Lidah Biru
Kambing,7,Betina,120.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,39.7°C,85,Penyakit Mulut dan Kuku
Babi,5,Jantan,150.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,39.3°C,92,Pleuropneumonia Actinobacillus
Anjing,4,Betina,25.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,39.2°C,120,Distemper
Kucing,5,Jantan,11.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,39.2°C,140,Virus Leukemia Kucing
Kuda,6,Jantan,600.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,39.5°C,88,Influenza Kuda
Sapi,7,Betina,550.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,39.4°C,75,Penyakit Johne Sapi
Kelinci,2,Betina,1.5,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,3 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,39.1°C,130,Pneumonia
Domba,4,Jantan,95.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.3°C,78,Ektima Menular
Kambing,8,Betina,110.0,Muntah,Diare,Lesu,Demam,6 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,39.8°C,85,Artritis Ensefalitis Kaprin
Babi,6,Betina,130.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,39.2°C,110,Influenza Babi
Anjing,3,Jantan,6.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,39.3°C,135,Parvovirus
Kucing,4,Betina,7.5,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,39.0°C,140,Klamidiosis Kucing
Kuda,8,Jantan,700.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,7 hari,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,39.3°C,82,Virus West Nile
Sapi,5,Betina,600.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,39.6°C,85,Tuberkulosis Sapi
Anjing,3,Betina,28.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,39.1°C,120,Batuk Kennel
Kucing,4,Jantan,10.0,Muntah,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,39.0°C,140,Virus Leukemia Kucing
Kuda,5,Betina,550.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,39.5°C,100,Influenza Kuda
Sapi,8,Jantan,700.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,39.2°C,75,Penyakit Pernapasan Sapi
Kelinci,2,Jantan,1.5,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,39.3°C,130,Pasteurelosis
Domba,6,Jantan,95.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,39.4°C,80,Penyakit Mulut dan Kuku
Kambing,4,Betina,90.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.6°C,85,Artritis Ensefalitis Kaprin
Babi,3,Betina,120.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,39.1°C,95,Influenza Babi
Anjing,4,Jantan,20.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,39.2°C,130,Distemper Anjing
Kucing,3,Betina,7.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,3 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,39.0°C,140,Peritonitis Infeksius Kucing
Kuda,8,Jantan,800.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,39.6°C,85,Ensefalomielitis Kuda
Sapi,7,Betina,650.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,39.3°C,75,Tuberkulosis Sapi
Kelinci,1,Betina,1.3,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,39.1°C,140,Miksomatosis
Domba,5,Jantan,110.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,39.4°C,70,Scrapie
Kambing,7,Betina,100.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,39.7°C,80,Pneumonia
Babi,5,Jantan,130.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,39.2°C,90,Pleuropneumonia Actinobacillus
Anjing,3,Betina,12.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,39.0°C,115,Parvovirus Anjing
Kucing,4,Jantan,10.0,Muntah,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,39.2°C,145,Panleukopenia Kucing
Kuda,6,Jantan,500.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,39.3°C,85,Mieloensefalitis Protozoa Kuda
Sapi,6,Jantan,550.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,39.5°C,70,Penyakit Johne Sapi
Kelinci,2,Jantan,1.8,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,39.2°C,130,Penyakit Hemoragik Virus Kelinci
Domba,6,Betina,90.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,39.6°C,80,Lidah Biru
Kambing,7,Betina,120.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,39.5°C,90,Penyakit Mulut dan Kuku
Babi,4,Betina,150.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,39.4°C,85,Erisipelas Babi
Anjing,5,Betina,22.0,Batuk,Lesu,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.3°C,120,Batuk Anjing
Kuda,7,Jantan,550.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.4°C,110,Equine Infectious Anemia
Sapi,8,Betina,750.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,7 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,39.5°C,85,Kompleks Penyakit Pernapasan Sapi
Kelinci,1,Betina,2.0,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.2°C,120,Infeksi Saluran Pernapasan
Domba,4,Jantan,85.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,39.3°C,95,Virus Lidah Biru
Kambing,2,Jantan,85.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,39.6°C,90,Virus Artritis Ensefalitis Kaprin
Babi,3,Betina,135.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,39.4°C,95,Demam Babi Afrika
Anjing,4,Jantan,8.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,39.2°C,115,Parvovirus
Kucing,2,Betina,6.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,39.1°C,140,Peritonitis Infeksius Kucing
Kuda,9,Jantan,600.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,39.5°C,80,Virus West Nile
Sapi,5,Betina,650.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,39.3°C,75,Tuberkulosis Sapi
Kelinci,2,Jantan,1.5,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,39.2°C,130,Penyakit Hemoragik Virus
Domba,6,Betina,120.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,39.5°C,80,Penyakit Scrapie
Kambing,5,Betina,75.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,39.7°C,85,Pneumonia
Babi,6,Jantan,140.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,39.5°C,90,Influenza Babi
Anjing,2,Betina,10.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,39.0°C,125,Distemper
Kucing,5,Jantan,8.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,39.2°C,145,Virus Leukemia Kucing
Kuda,7,Jantan,700.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,39.6°C,85,Ensefalitis Kuda
Sapi,6,Jantan,650.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,39.5°C,80,Kompleks Penyakit Pernapasan Sapi
Kelinci,1,Betina,1.2,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,39.0°C,130,Penyakit Hemoragik Kelinci
Domba,7,Jantan,90.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,39.4°C,90,Lidah Biru
Kambing,6,Jantan,110.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.6°C,90,Virus Artritis Ensefalitis Kaprin
Babi,4,Betina,120.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,39.4°C,85,Erisipelas Babi
Anjing,3,Betina,30.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,39.2°C,120,Leptospirosis
Kucing,4,Jantan,7.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,39.1°C,135,Virus Imunodefisiensi Kucing
